T_MFO,B_MFO,G_MFO,C_MFO,O_MFO,T_SCR,B_SCR,G_SCR,C_SCR,O_SCR,T_LNG,B_LNG,G_LNG,C_LNG,O_LNG,T_ELC,B_ELC,G_ELC,C_ELC,O_ELC,T_MET,B_MET,G_MET,C_MET,O_MET,T_LPG,B_LPG,G_LPG,C_LPG,O_LPG,T_HYD,B_HYD,G_HYD,C_HYD,O_HYD
0.0,0.0,0.0,0.0,0.0,7179.0,6504.0,7679.0,4634.0,1991.0,69.0,60.0,79.0,93.0,243.0,6.0,6.0,22.0,2.0,412.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,7541.0,6723.0,8354.0,6126.0,2276.0,69.0,60.0,79.0,93.0,243.0,6.0,6.0,22.0,2.0,412.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,-0.0,-0.0,7541.0,6723.0,8354.0,6126.0,2276.0,76.0,67.0,87.0,93.0,243.0,6.0,6.0,22.0,2.0,412.0,2.0,0.0,1.0,-0.0,21.0,34.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.0
0.0,0.0,0.0,-0.0,-0.0,7541.0,6723.0,8354.0,6126.0,2276.0,76.0,67.0,87.0,93.0,243.0,6.0,6.0,22.0,2.0,412.0,2.0,0.0,1.0,-0.0,21.0,34.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.0
0.0,0.0,0.0,-0.0,-0.0,7541.0,6723.0,8354.0,6126.0,2276.0,76.0,67.0,87.0,93.0,243.0,6.0,6.0,22.0,2.0,412.0,2.0,0.0,1.0,-0.0,21.0,34.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.0
0.0,0.0,0.0,-0.0,-0.0,7541.0,6723.0,8354.0,6126.0,2276.0,76.0,67.0,87.0,93.0,243.0,6.0,6.0,22.0,2.0,412.0,2.0,0.0,1.0,-0.0,21.0,34.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.0
0.0,0.0,0.0,-0.0,-0.0,7541.0,6723.0,8354.0,6126.0,2276.0,76.0,67.0,87.0,93.0,243.0,6.0,6.0,22.0,2.0,412.0,2.0,0.0,1.0,-0.0,21.0,34.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.0
0.0,0.0,0.0,-0.0,-0.0,7541.0,6723.0,8354.0,6126.0,2276.0,76.0,67.0,87.0,93.0,243.0,6.0,6.0,22.0,2.0,412.0,2.0,0.0,1.0,-0.0,21.0,34.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.0
0.0,0.0,0.0,0.0,0.0,7539.0,6719.0,8353.0,6124.0,2274.0,73.0,65.0,84.0,89.0,233.0,6.0,6.0,21.0,2.0,392.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,7538.0,6716.0,8352.0,6122.0,2272.0,72.0,63.0,82.0,88.0,229.0,6.0,6.0,20.0,2.0,383.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,7535.0,6709.0,8350.0,6118.0,2269.0,71.0,62.0,81.0,86.0,271.0,5.0,5.0,19.0,2.0,361.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,7524.0,6686.0,8343.0,6104.0,2257.0,136.0,121.0,153.0,84.0,314.0,5.0,5.0,19.0,2.0,348.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,7501.0,6638.0,8330.0,6075.0,2232.0,140.0,169.0,157.0,79.0,1258.0,5.0,5.0,18.0,2.0,338.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,7490.0,6614.0,8323.0,6061.0,2220.0,142.0,306.0,159.0,73.0,1240.0,5.0,5.0,17.0,2.0,316.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,7478.0,6588.0,8315.0,6045.0,2206.0,146.0,446.0,163.0,67.0,1224.0,4.0,4.0,16.0,1.0,291.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,7421.0,6468.0,8281.0,5974.0,2144.0,425.0,448.0,301.0,184.0,1201.0,4.0,4.0,14.0,1.0,256.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,7025.0,5624.0,8038.0,5469.0,1708.0,489.0,560.0,300.0,782.0,1171.0,2.0,2.0,7.0,1.0,129.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,1608.0,1026.0,2870.0,2626.0,563.0,2367.0,551.0,288.0,3719.0,2421.0,1.0,1.0,2.0,0.0,42.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,3533.0,5117.0,5177.0,0.0,3.0
