T_MFO,B_MFO,G_MFO,C_MFO,O_MFO,T_SCR,B_SCR,G_SCR,C_SCR,O_SCR,T_LNG,B_LNG,G_LNG,C_LNG,O_LNG,T_ELC,B_ELC,G_ELC,C_ELC,O_ELC,T_MET,B_MET,G_MET,C_MET,O_MET,T_LPG,B_LPG,G_LPG,C_LPG,O_LPG,T_HYD,B_HYD,G_HYD,C_HYD,O_HYD
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,4.41448e12,1.20289e13,4.8798e11,8.38864e12,1.752e11,4.0712e11,1.105e11,6.012e10,3.256e11,1.3296e11,3.136e10,4.55e10,1.836e10,1.628e10,3.0564e11,5.488e10,0.0,7.2e8,0.0,0.0,7.616e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,5.13744e12,1.39984e13,5.679e11,9.76208e12,2.0388e11,4.7488e11,1.287e11,7.056e10,3.9516e11,1.524e11,3.752e10,5.33e10,2.232e10,1.924e10,3.5412e11,6.776e10,0.0,9.0e8,0.0,0.0,9.52e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,5.8604e12,1.59679e13,6.4782e11,1.113552e13,2.3256e11,5.432e11,1.469e11,8.1e10,4.6472e11,1.7196e11,4.368e10,6.11e10,2.628e10,2.22e10,4.0284e11,8.064e10,0.0,1.08e9,0.0,0.0,1.1424e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,6.58336e12,1.79374e13,7.2774e11,1.250896e13,2.6124e11,6.1152e11,1.651e11,9.144e10,5.3428e11,1.9152e11,4.984e10,6.89e10,3.024e10,2.516e10,4.5156e11,9.352e10,0.0,1.26e9,0.0,0.0,1.3328e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,7.30632e12,1.99069e13,8.0766e11,1.38824e13,2.8992e11,6.7984e11,1.833e11,1.0188e11,6.0384e11,2.1108e11,5.6e10,7.67e10,3.42e10,2.812e10,5.004e11,1.064e11,0.0,1.44e9,0.0,0.0,1.5232e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,8.02928e12,2.18764e13,8.8758e11,1.525584e13,3.186e11,7.4816e11,2.015e11,1.1232e11,6.734e11,2.3064e11,6.216e10,8.45e10,3.816e10,3.108e10,5.4924e11,1.1928e11,0.0,1.62e9,0.0,0.0,1.7136e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,8.75224e12,2.38459e13,9.675e11,1.662928e13,3.4728e11,8.1648e11,2.197e11,1.2276e11,7.4296e11,2.502e11,6.832e10,9.23e10,4.212e10,3.404e10,5.9808e11,1.3216e11,0.0,1.8e9,0.0,0.0,1.904e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,9.4752e12,2.58154e13,1.04742e12,1.800272e13,3.7596e11,8.848e11,2.379e11,1.332e11,8.1252e11,2.6976e11,7.448e10,1.001e11,4.608e10,3.7e10,6.4692e11,1.4504e11,0.0,1.98e9,0.0,0.0,2.0944e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.019816e13,2.77849e13,1.12734e12,1.937616e13,4.0464e11,9.5312e11,2.561e11,1.4364e11,8.8208e11,2.8932e11,8.064e10,1.079e11,5.004e10,3.996e10,6.9576e11,1.5792e11,0.0,2.16e9,0.0,0.0,2.2848e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.092112e13,2.97544e13,1.20726e12,2.07496e13,4.3332e11,1.02144e12,2.743e11,1.5408e11,9.5164e11,3.0888e11,8.68e10,1.157e11,5.4e10,4.292e10,7.446e11,1.708e11,0.0,2.34e9,0.0,0.0,2.4752e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68e9
