"MEASURE - Number of ships"

,YEAR,"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"ECONOMY","SHIP TYPE",
"Individual economies","Total fleet","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Oil tankers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Bulk carriers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","General cargo","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Container ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Other types of ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Selected exporters of petroleum","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1349,1322,1361,1442,1460,1475,1492,1458,1484
"Selected exporters of petroleum","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",52,39,50,59,63,61,50,47,49
"Selected exporters of petroleum","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2925,3014,3122,3312,3568,3635,3709,3712,3985
"Selected exporters of manufactured goods","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",19148,19762,20371,21054,21645,22223,22635,23068,24266
"Selected exporters of manufactured goods","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2814,2395,2476,2573,2683,2759,2847,2921,3226
"Selected exporters of manufactured goods","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2167,2533,2763,3166,3295,3360,3319,3344,3451
"Selected exporters of manufactured goods","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4960,4736,4702,4705,4733,4807,4829,4803,4809
"Selected exporters of manufactured goods","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1040,1094,1154,1287,1373,1463,1502,1573,1649
"Selected exporters of manufactured goods","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",8167,9004,9276,9323,9561,9834,10138,10427,11131
"Selected exporters of manufactured goods and primary commodities","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13298,13253,13352,13824,14154,14513,14800,15096,16334
"Selected exporters of manufactured goods and primary commodities","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1735,1372,1401,1491,1555,1599,1629,1657,1957
"Selected exporters of manufactured goods and primary commodities","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1187,1298,1340,1586,1604,1554,1521,1530,1639
"Selected exporters of manufactured goods and primary commodities","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4398,4111,4007,3820,3851,3924,3929,3896,3911
"Selected exporters of manufactured goods and primary commodities","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",430,425,432,456,468,489,506,562,594
"Selected exporters of manufactured goods and primary commodities","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5548,6047,6172,6471,6676,6947,7215,7451,8233
"Selected exporters of agricultural products","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2354,2129,2150,2164,2213,2229,2309,2246,2316
"Selected exporters of agricultural products","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",276,245,250,251,263,268,271,257,260
"Selected exporters of agricultural products","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",39,32,33,55,57,59,67,59,62
"Selected exporters of agricultural products","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1157,974,980,902,886,873,913,888,886
"Selected exporters of agricultural products","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",14,12,14,8,12,12,12,14,14
"Selected exporters of agricultural products","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",868,866,873,948,995,1017,1046,1028,1094
"Selected exporters of minerals and mining products","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",997,940,951,1067,1118,1178,1216,1213,1262
"Selected exporters of minerals and mining products","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",126,116,117,150,162,168,177,178,203
"Selected exporters of minerals and mining products","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",58,42,33,31,32,39,40,36,40
"Selected exporters of minerals and mining products","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",406,382,391,438,463,479,482,480,464
"Selected exporters of minerals and mining products","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",31,23,22,21,23,24,26,28,27
"Selected exporters of minerals and mining products","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",376,377,388,427,438,468,491,491,528
"Net food-importing economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",45611,46404,47180,47477,48327,49099,49640,50001,51255
"Net food-importing economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6793,5689,5803,5945,6145,6237,6408,6514,6807
"Net food-importing economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4549,5108,5442,5966,6181,6317,6343,6464,6626
"Net food-importing economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",11416,10856,10813,10394,10285,10366,10274,10128,9928
"Net food-importing economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3367,3536,3559,3548,3584,3685,3651,3636,3694
"Net food-importing economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",19486,21215,21563,21624,22132,22494,22964,23259,24200
"  Net food-importing developing economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",26651,27165,27900,28525,29212,29879,30218,30347,31996
"  Net food-importing developing economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3671,3259,3368,3544,3688,3784,3941,3992,4400
"  Net food-importing developing economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3224,3642,3941,4376,4551,4663,4693,4809,5004
"  Net food-importing developing economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6499,6072,6058,5865,5841,5963,5882,5709,5870
"  Net food-importing developing economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2427,2529,2596,2663,2665,2708,2620,2583,2657
"  Net food-importing developing economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10830,11663,11937,12077,12467,12761,13082,13254,14065
"  Net food-importing transition economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3049,2994,3058,3113,3177,3224,3264,3285,3401
"  Net food-importing transition economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",432,410,431,457,471,476,480,480,468
"  Net food-importing transition economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",39,34,26,21,24,23,22,21,23
"  Net food-importing transition economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1088,1017,1028,1016,998,1004,1004,1013,1018
"  Net food-importing transition economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",15,17,12,9,10,12,13,13,13
"  Net food-importing transition economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1475,1516,1561,1610,1674,1709,1745,1758,1879
"  Net food-importing developed economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",15911,16245,16222,15839,15938,15996,16158,16369,15858
"  Net food-importing developed economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2690,2020,2004,1944,1986,1977,1987,2042,1939
"  Net food-importing developed economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1286,1432,1475,1569,1606,1631,1628,1634,1599
"  Net food-importing developed economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3829,3767,3727,3513,3446,3399,3388,3406,3040
"  Net food-importing developed economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",925,990,951,876,909,965,1018,1040,1024
"  Net food-importing developed economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",7181,8036,8065,7937,7991,8024,8137,8247,8256
"Major net food-importing economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",27694,28295,28960,29501,30321,30819,31315,31840,32886
"Major net food-importing economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4219,3410,3517,3596,3764,3816,3892,3989,4198
"Major net food-importing economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2217,2612,2881,3375,3502,3568,3558,3618,3723
"Major net food-importing economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6611,6304,6323,6248,6275,6365,6413,6413,6335
"Major net food-importing economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1449,1535,1576,1612,1693,1799,1858,1958,2035
"Major net food-importing economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13198,14434,14663,14670,15087,15271,15594,15862,16595
"Net food-exporting economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",36384,37034,38072,38947,40000,40930,42068,42561,43653
"Net food-exporting economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3692,3031,3116,3160,3385,3519,3649,3737,3811
"Net food-exporting economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3668,3880,4117,4187,4315,4425,4546,4651,4743
"Net food-exporting economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9263,9040,9081,8871,8758,8859,9032,8989,8677
"Net food-exporting economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1595,1553,1544,1549,1516,1530,1496,1509,1571
"Net food-exporting economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",18166,19530,20214,21180,22026,22597,23345,23675,24851
"  Net food-exporting developing economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",26513,26989,27950,28936,29924,30819,31907,32239,33319
"  Net food-exporting developing economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3201,2649,2727,2797,3033,3160,3278,3360,3425
"  Net food-exporting developing economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3477,3687,3919,3990,4119,4234,4374,4470,4558
"  Net food-exporting developing economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",7501,7243,7273,7139,7103,7205,7383,7349,7178
"  Net food-exporting developing economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1343,1287,1306,1316,1281,1297,1272,1270,1302
"  Net food-exporting developing economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10991,12123,12725,13694,14388,14923,15600,15790,16856
"  Net food-exporting transition economies","Total fleet","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",670,664,662,637,615,600,582,573,554
"  Net food-exporting transition economies","Oil tankers","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",20,20,22,29,26,24,24,23,23
"  Net food-exporting transition economies","Bulk carriers","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10,4,6,6,3,4,5,3,4
"  Net food-exporting transition economies","General cargo","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",284,273,264,258,239,232,217,205,182
"  Net food-exporting transition economies","Container ships","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3,2,2,1,1,1,1,4,5
"  Net food-exporting transition economies","Other types of ships","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",353,365,368,343,346,339,335,338,340
"  Net food-exporting developed economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9201,9381,9460,9374,9461,9511,9579,9749,9780
"  Net food-exporting developed economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",471,362,367,334,326,335,347,354,363
"  Net food-exporting developed economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",181,189,192,191,193,187,167,178,181
"  Net food-exporting developed economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1478,1524,1544,1474,1416,1422,1432,1435,1317
"  Net food-exporting developed economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",249,264,236,232,234,232,223,235,264
"  Net food-exporting developed economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6822,7042,7121,7143,7292,7335,7410,7547,7655
"Major net food-exporting economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",23863,24549,25198,26104,26956,27568,28350,28707,29775
"Major net food-exporting economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1949,1650,1668,1674,1738,1770,1822,1856,1921
"Major net food-exporting economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",563,576,563,568,558,559,549,565,575
"Major net food-exporting economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6240,6290,6317,6276,6265,6352,6395,6375,6123
"Major net food-exporting economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",577,556,559,564,567,581,597,626,669
"Major net food-exporting economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",14534,15477,16091,17022,17828,18306,18987,19285,20487
"BASIC","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5472,5554,5669,6327,6535,6749,6971,7208,8292
"BASIC","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",617,510,532,635,636,651,659,680,952
"BASIC","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",732,850,907,1172,1199,1167,1175,1204,1312
"BASIC","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1302,1142,1095,1244,1302,1333,1348,1371,1471
"BASIC","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",220,220,219,222,228,229,238,279,304
"BASIC","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2601,2832,2916,3054,3170,3369,3551,3674,4253
"BRICS","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",7781,7859,8035,8805,9059,9328,9582,9833,11031
"BRICS","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",975,851,893,1021,1038,1062,1074,1091,1356
"BRICS","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",760,877,928,1189,1216,1184,1191,1219,1328
"BRICS","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2169,1988,1957,2138,2175,2212,2220,2250,2370
"BRICS","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",230,230,229,231,238,241,251,292,317
"BRICS","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3647,3913,4028,4226,4392,4629,4846,4981,5660
"Industrialized economies (UNIDO)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",33264,34321,34952,34792,35419,35897,36357,36886,36606
"Industrialized economies (UNIDO)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4349,3431,3499,3432,3546,3591,3696,3800,3750
"Industrialized economies (UNIDO)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2116,2482,2690,2946,3085,3220,3184,3221,3201
"Industrialized economies (UNIDO)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6664,6635,6688,6456,6312,6278,6298,6318,5885
"Industrialized economies (UNIDO)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1650,1782,1768,1822,1949,2102,2165,2212,2271
"Industrialized economies (UNIDO)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",18485,19991,20307,20136,20527,20706,21014,21335,21499
"EIEs (Emerging Industrial Economies) (UNIDO)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",20129,20613,21247,22612,23555,24129,24919,25241,27285
"EIEs (Emerging Industrial Economies) (UNIDO)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2351,2068,2092,2227,2295,2312,2343,2397,2672
"EIEs (Emerging Industrial Economies) (UNIDO)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1522,1664,1744,2007,2033,1975,1958,1977,2075
"EIEs (Emerging Industrial Economies) (UNIDO)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5014,4815,4790,4874,5000,5137,5173,5153,5141
"EIEs (Emerging Industrial Economies) (UNIDO)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",729,687,741,739,745,727,744,801,842
"EIEs (Emerging Industrial Economies) (UNIDO)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10513,11379,11880,12765,13482,13978,14701,14913,16555
"Emerging markets","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",29985,31014,32199,33959,35401,36420,37481,38021,40391
"Emerging markets","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3911,3417,3521,3679,3844,3920,4020,4130,4458
"Emerging markets","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2243,2603,2820,3220,3349,3404,3375,3410,3512
"Emerging markets","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6901,6656,6684,6769,6880,7051,7111,7084,7123
"Emerging markets","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1247,1269,1362,1504,1585,1672,1712,1787,1876
"Emerging markets","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",15683,17069,17812,18787,19743,20373,21263,21610,23422
"  Emerging markets: Africa","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",817,828,862,922,1012,1024,1043,1053,1173
"  Emerging markets: Africa","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",119,109,109,115,126,129,131,132,147
"  Emerging markets: Africa","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",14,18,18,14,14,16,16,16,15
"  Emerging markets: Africa","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",53,51,53,48,46,48,48,48,44
"  Emerging markets: Africa","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3,3,3,5,5,6,8,8,7
"  Emerging markets: Africa","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",628,647,679,740,821,825,840,849,960
"  Emerging markets: America","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1966,1974,2014,2184,2283,2353,2447,2457,2613
"  Emerging markets: America","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",210,194,189,188,197,203,198,199,193
